inning,Richie Benaud,Michael Clarke,Kim Hughes,Bill Lawry,Allan Border,Greg Chappell,Ian Chappell,Ricky Ponting,Mark Taylor,Donald Bradman,Lindsay Hassett,Ian Johnson,Bob Simpson,Steve Waugh
0,3,151,1,57,29,108,11,96,25,18,1,7,60,13
1,22,168,29,187,29,123,28,167,28,19,3,54,83,18
2,27,173,29,188,89,125,47,173,31,98,59,61,86,26
3,72,212,46,216,134,128,84,193,67,210,101,61,103,26
4,72,303,65,244,145,148,118,207,203,250,114,61,107,37
5,78,376,69,318,146,148,167,220,263,308,147,113,113,111
6,96,393,198,420,166,213,174,308,325,431,189,119,136,112
7,116,400,214,420,271,243,179,317,352,468,199,120,136,113
8,146,541,226,425,356,267,204,326,395,476,218,136,228,113
9,149,548,226,523,422,290,204,330,446,607,346,136,228,125
10,149,549,274,575,584,421,217,457,531,861,380,158,277,127
11,149,576,322,632,634,428,228,466,568,862,392,179,304,166
12,154,596,337,640,678,454,243,511,787,1196,401,183,314,172
13,161,631,341,648,697,526,245,551,858,1210,479,192,326,172
14,195,639,387,658,721,538,258,571,906,1442,503,193,411,200
15,215,647,403,674,729,551,409,597,915,1446,550,199,414,271
16,227,669,410,685,753,664,426,670,924,1471,598,209,489,350
17,242,680,429,730,799,680,453,686,1088,1694,604,275,581,360
18,264,771,513,773,853,708,453,690,1111,1846,684,275,657,409
19,279,811,522,860,859,824,455,795,1219,1889,882,277,657,409
20,280,841,622,1017,882,886,528,827,1271,1889,1019,280,672,482
21,287,848,658,1037,943,916,537,889,1372,2115,1040,306,674,503
22,309,887,744,1060,944,922,544,915,1449,2227,1087,329,677,564
23,355,923,757,1149,951,964,556,938,1508,2229,1087,337,681,619
24,360,979,807,1163,955,978,627,956,1609,2396,1125,337,732,629
25,428,1004,808,1201,1070,1084,645,958,1613,2695,1138,360,772,656
26,429,1043,826,1214,1087,1140,710,1018,1618,2695,1155,437,822,676
27,434,1048,866,1226,1102,1141,791,1027,1628,2798,1192,453,893,676
28,555,1053,958,1237,1117,1192,801,1043,1695,2806,1304,456,931,689
29,572,1067,1022,1240,1119,1233,803,1119,1756,2872,1361,457,945,690
30,577,1072,1036,1244,1173,1264,920,1162,1761,2948,1363,457,1036,709
31,674,1091,1116,1264,1197,1324,970,1183,1772,2972,1374,473,1070,768
32,704,1100,1119,1342,1260,1324,1135,1194,1791,3020,1427,481,1070,772
33,705,1123,1249,1343,1290,1332,1168,1199,1796,3091,1594,486,1141,862
34,705,1179,1348,1449,1348,1374,1244,1209,1800,3120,1602,497,1173,953
35,723,1303,1352,1449,1352,1621,1340,1313,1812,3145,1605,513,1173,979
36,755,1324,1356,1543,1502,1754,1341,1335,1831,3181,1657,514,1185,1021
37,755,1361,1426,1605,1655,1779,1351,1356,1889,3194,1676,520,1219,1024
38,759,1496,1444,1646,1711,1785,1382,1377,1889,3224,1746,527,1219,1079
39,815,1501,1491,1662,1732,1785,1413,1473,1904,3528,1789,540,1274,1091
40,821,1512,1525,1730,1768,1823,1429,1524,1965,3772,1820,564,1332,1099
41,823,1657,1536,1780,1778,1881,1567,1525,1967,3849,1912,597,1363,1276
42,847,1728,1551,1827,1823,1952,1567,1630,1993,3887,1960,601,1441,1428
43,868,1748,1636,1834,1832,2014,1666,1661,2069,3887,1966,642,1475,1449
44,990,1821,1644,1856,1863,2016,1670,1661,2128,3887,2001,645,1503,1492
45,1023,1822,1732,1897,1920,2077,1675,1661,2272,3969,2133,656,1534,1584
46,1028,1822,1733,1916,1927,2161,1675,1661,2366,3982,2179,674,1584,1584
47,1048,1845,1733,1935,2051,2305,1688,1858,2401,4252,2194,740,1584,1598
48,1148,1926,1850,1952,2060,2310,1688,1983,2414,4278,2296,740,1599,1605
49,1191,2044,1934,1953,2123,2328,1702,2004,2474,4490,2298,763,1623,1622
50,1197,2154,1943,1973,2143,2329,1736,2071,2530,4659,2362,820,1653,1682
51,1213,2164,1946,1995,2207,2431,1736,2092,2565,4710,2417,847,1964,1739
52,1213,2164,1962,2205,2219,2431,1753,2233,2576,4854,2434,859,1968,1755
53,1219,2212,2013,2263,2227,2435,1767,2253,2676,4872,2452,865,1992,1889
54,1265,2223,2043,2266,2227,2508,1826,2258,2678,4974,2473,882,2022,1909
55,1329,2229,2067,2284,2229,2521,1836,2350,2694,5077,2475,882,2099,1912
56,1345,2252,2280,2450,2269,2533,1886,2361,2736,5093,2638,885,2126,1929
57,1374,2321,2333,2538,2280,2533,1903,2384,2779,5280,2678,885,2146,1933
58,1395,2433,2357,2616,2403,2537,1915,2410,2794,5514,2708,886,2213,1958
59,1413,2441,2373,2616,2509,2660,1915,2461,2820,5593,2823,898,2284,1983
60,1433,2463,2380,2649,2593,2769,2026,2475,2839,5642,2828,908,2437,1984
61,1440,2561,2402,2768,2596,2782,2056,2475,2842,5642,2932,921,2552,2003
62,1440,2570,2444,2876,2633,2825,2084,2481,2849,5698,2935,921,2599,2051
63,1454,2680,2448,2974,2669,2877,2188,2481,2883,5710,2961,994,2600,2065
64,1466,2742,2537,3001,2676,3059,2213,2481,2896,5773,2969,995,2611,2091
65,1491,2767,2537,3011,2677,3065,2219,2492,2938,5958,3006,1000,2627,2093
66,1494,2855,2584,3050,2681,3069,2219,2503,2958,5971,3010,,2657,2097
67,1504,2884,2589,3094,2747,3117,2226,2517,3004,6103,3063,,2664,2107
68,1514,3022,2593,3128,2800,3185,2282,2521,3005,6230,3073,,2687,2127
69,1566,3063,2636,3145,2809,3239,2288,2535,3012,6431,,,2888,2165
70,1568,3131,2667,3147,2887,3291,2322,2552,3094,6488,,,2893,2166
71,1571,3131,2673,3147,3013,3361,2372,2696,3144,6626,,,2965,2266
72,1595,3134,2687,3172,3013,3482,2398,2768,3157,6626,,,2999,2308
73,1672,3157,2793,3214,3051,3549,2398,2830,3160,6664,,,3058,2312
74,1689,3157,2821,3214,3057,3577,2516,2835,3284,6753,,,3125,2325
75,1692,3204,2855,3314,3112,3582,2553,2867,3293,6760,,,3350,2325
76,1698,3287,2866,3378,3120,3626,2749,3024,3404,6790,,,3354,2387
77,1734,3288,2966,3423,3129,3626,2815,3055,3432,6823,,,3419,2462
78,1734,3424,2974,3489,3160,3684,2824,3081,3460,6996,,,3467,2503
79,1734,3453,2990,3541,3169,3724,2867,3135,3487,6996,,,3620,2503
80,1736,3556,3003,3622,3175,3726,2894,3160,3506,,,,3638,2506
81,1737,3649,3008,3638,3183,3792,2913,3182,3510,,,,3644,2584
82,1743,3652,3092,3638,3215,3816,2951,3182,3580,,,,3738,2597
83,1794,3652,3092,3666,3215,3860,3023,3196,3588,,,,3762,2610
84,1830,3693,3109,3672,3230,3972,3129,3235,3652,,,,3790,2657
85,1834,3764,3121,3807,3256,3991,3137,3282,3794,,,,3802,2814
86,1849,3825,3175,3811,3258,4018,3234,3382,3821,,,,3837,2873
87,1865,3836,3189,3916,3320,4022,3343,3471,3874,,,,3892,2893
88,1913,3861,3200,3925,3409,4058,3399,3505,4044,,,,3995,2919
89,1970,3889,3207,4130,3492,4097,3436,3646,4051,,,,4104,2963
90,2013,3926,3236,4159,3539,4171,3490,3653,4078,,,,4111,2988
91,2056,3929,3275,4221,3571,4295,3535,3697,4140,,,,4131,3135
92,2146,3950,3337,4310,3689,4314,3541,3847,4178,,,,4138,3299
93,2153,4116,3337,4461,3806,4357,3563,3970,4248,,,,4227,3300
94,2187,4284,3376,4478,3872,4376,3708,3973,4262,,,,4403,3345
95,2198,4312,3464,4503,3904,4398,3829,4127,4263,,,,4442,3345
96,2201,4375,3530,4505,3968,4401,3849,4195,4275,,,,4444,3431
97,,4422,3578,4519,3973,4499,3850,4216,4275,,,,4448,3495
98,,4434,3607,4575,4027,4499,3887,4246,4275,,,,4486,3568
99,,4437,3744,4581,4125,4530,3922,4253,4344,,,,4519,3568
100,,4514,3760,4630,4225,4644,4012,4264,4349,,,,4619,3666
101,,4528,3813,4665,4263,4684,4023,4381,4381,,,,4670,3685
102,,4532,3843,4682,4271,4704,4048,4423,4440,,,,4670,3692
103,,4546,3949,4715,4369,4717,4059,4629,4498,,,,4684,3786
104,,4549,4043,4717,4388,4952,4095,4674,4507,,,,4693,3812
105,,4558,4119,4719,4429,5008,4095,4787,4526,,,,4710,3813
106,,4560,4137,4802,4489,5065,4148,4797,4575,,,,4777,3813
107,,4640,4137,4817,4504,5112,4153,4856,4688,,,,4781,3832
108,,4644,4161,4831,4510,5171,4153,4893,4778,,,,4817,3832
109,,4664,4194,4832,4527,5206,4194,5062,4791,,,,4823,3931
110,,4684,4214,4849,4551,5218,4259,5115,4800,,,,4869,4011
111,,4697,4239,4867,4572,5231,4309,5169,4852,,,,,4076
112,,4701,4263,4910,4590,5273,4361,5219,4907,,,,,4091
113,,4742,4292,4914,4625,5351,4363,5461,4923,,,,,4156
114,,4765,4311,4998,4666,5555,4449,5461,4960,,,,,4219
115,,4825,4334,4998,4735,5591,4484,5718,4965,,,,,4240
116,,4838,4338,5036,4767,5643,4546,5749,4967,,,,,4440
117,,4844,4375,5045,4775,5719,4738,5774,4997,,,,,4552
118,,4956,4409,5105,4971,5719,4779,5821,5005,,,,,4559
119,,5107,4413,5161,5012,5741,4853,5842,5074,,,,,4588
120,,5109,4413,5203,5035,5747,5009,5870,5114,,,,,4626
121,,5120,4415,5213,5043,5948,5029,5880,5237,,,,,4640
122,,5122,4415,5234,5189,5970,5064,5907,5284,,,,,4771
123,,5261,4415,,5234,5970,5077,5999,5343,,,,,4941
124,,5283,,,5236,5970,5081,6019,5439,,,,,5002
125,,5283,,,5274,5976,5090,6041,5446,,,,,5002
126,,5314,,,5332,5988,5132,6086,5471,,,,,5069
127,,5315,,,5333,5988,5155,6097,5492,,,,,5135
128,,5644,,,5485,6049,5156,6109,5502,,,,,5193
129,,5662,,,5505,6056,5187,6160,5529,,,,,5230
130,,5872,,,5516,6088,5229,6228,5566,,,,,5256
131,,5909,,,5528,6112,5238,6254,5609,,,,,5257
132,,5982,,,5611,6288,5240,6279,5645,,,,,5257
133,,5988,,,5660,6291,5244,6377,5672,,,,,5417
134,,6033,,,5671,6408,5319,6384,5688,,,,,5425
135,,6048,,,5834,6430,5345,6446,5695,,,,,5443
136,,6072,,,5905,6483,,6653,5705,,,,,5510
137,,6097,,,5909,6491,,6657,5716,,,,,5570
138,,6356,,,5922,6606,,6703,5718,,,,,5582
139,,6586,,,6062,6632,,6750,5719,,,,,5615
140,,6624,,,6176,6632,,6759,5735,,,,,5615
141,,6629,,,6193,6634,,6864,5743,,,,,5723
142,,6673,,,6199,6669,,6950,5756,,,,,5839
143,,6747,,,6305,6680,,6959,5794,,,,,5843
144,,6804,,,6332,6746,,7001,5799,,,,,5918
145,,6910,,,6378,6763,,7062,5806,,,,,5932
146,,6960,,,6444,6913,,7062,5935,,,,,5954
147,,6989,,,6451,6919,,7069,5936,,,,,5960
148,,7119,,,6474,6923,,7225,5938,,,,,5962
149,,7150,,,6599,6928,,7226,5939,,,,,5985
150,,7241,,,6615,7110,,7274,5939,,,,,6081
151,,7257,,,6685,,,7309,6015,,,,,6088
152,,7257,,,6785,,,7355,6060,,,,,6090
153,,7275,,,6800,,,7409,6098,,,,,6186
154,,7275,,,6834,,,7558,6116,,,,,6203
155,,7298,,,6868,,,7662,6228,,,,,6288
156,,7326,,,6917,,,7679,6244,,,,,6294
157,,7377,,,6926,,,7679,6246,,,,,6328
158,,7564,,,7131,,,7735,6264,,,,,6340
159,,7594,,,7162,,,7738,6330,,,,,6367
160,,7600,,,7205,,,7809,6350,,,,,6447
161,,7621,,,7207,,,7862,6409,,,,,6480
162,,7628,,,7255,,,7979,6420,,,,,6637
163,,7656,,,7343,,,7990,6589,,,,,6638
164,,7657,,,7347,,,8110,6595,,,,,6687
165,,7770,,,7365,,,8253,6607,,,,,6687
166,,7918,,,7478,,,8327,6620,,,,,6715
167,,7940,,,7553,,,8328,6623,,,,,6827
168,,7964,,,7573,,,8431,6668,,,,,6843
169,,7987,,,7577,,,8547,6682,,,,,6876
170,,7997,,,7618,,,8581,6784,,,,,6891
171,,8003,,,7624,,,8601,6787,,,,,6950
172,,8013,,,7650,,,8622,7121,,,,,6957
173,,8019,,,7650,,,8740,7213,,,,,7079
174,,8042,,,7670,,,8792,7229,,,,,7109
175,,8059,,,7745,,,8988,7297,,,,,7205
176,,8078,,,7761,,,9048,7343,,,,,7213
177,,8079,,,7825,,,9190,7343,,,,,7227
178,,8240,,,7831,,,9239,7404,,,,,7227
179,,8240,,,7897,,,9241,7407,,,,,7327
180,,8242,,,7957,,,9316,7466,,,,,7336
181,,8245,,,7992,,,9323,7495,,,,,7535
182,,8292,,,7993,,,9368,7502,,,,,7546
183,,8297,,,8001,,,9424,7521,,,,,7618
184,,8425,,,8081,,,9455,7523,,,,,7622
185,,8432,,,8146,,,9508,7525,,,,,7641
186,,8450,,,8222,,,9512,,,,,,7660
187,,8497,,,8273,,,9515,,,,,,7674
188,,8511,,,8323,,,9570,,,,,,7825
189,,8549,,,8379,,,9571,,,,,,7826
190,,8553,,,8403,,,9591,,,,,,7850
191,,8560,,,8488,,,9636,,,,,,7878
192,,8592,,,8512,,,9776,,,,,,7883
193,,8602,,,8574,,,9934,,,,,,8033
194,,8605,,,8587,,,9939,,,,,,8038
195,,8615,,,8595,,,10004,,,,,,8070
196,,8628,,,8622,,,10042,,,,,,8102
197,,8643,,,8623,,,10060,,,,,,8159
198,,,,,8701,,,10099,,,,,,8176
199,,,,,8710,,,10222,,,,,,8186
200,,,,,8772,,,10239,,,,,,8337
201,,,,,8850,,,10244,,,,,,8352
202,,,,,8870,,,10246,,,,,,8355
203,,,,,8882,,,10333,,,,,,8373
204,,,,,8965,,,10357,,,,,,8414
205,,,,,8982,,,10365,,,,,,8440
206,,,,,9013,,,10369,,,,,,8561
207,,,,,9060,,,10386,,,,,,8581
208,,,,,9094,,,10465,,,,,,8684
209,,,,,9137,,,10465,,,,,,8722
210,,,,,9164,,,10497,,,,,,8737
211,,,,,9193,,,10598,,,,,,8847
212,,,,,9193,,,10697,,,,,,8871
213,,,,,9252,,,10697,,,,,,8918
214,,,,,9257,,,10750,,,,,,8965
215,,,,,9285,,,10833,,,,,,9070
216,,,,,9285,,,10858,,,,,,9115
217,,,,,9290,,,10867,,,,,,9128
218,,,,,9309,,,10948,,,,,,9129
219,,,,,9362,,,10948,,,,,,9286
220,,,,,9362,,,10960,,,,,,9289
221,,,,,9453,,,11110,,,,,,9289
222,,,,,9512,,,11112,,,,,,9297
223,,,,,9532,,,11150,,,,,,9364
224,,,,,9535,,,11188,,,,,,9372
225,,,,,9550,,,11193,,,,,,9385
226,,,,,9563,,,11271,,,,,,9475
227,,,,,9591,,,11279,,,,,,9505
228,,,,,9697,,,11345,,,,,,9537
229,,,,,9775,,,11400,,,,,,9537
230,,,,,9848,,,11436,,,,,,9551
231,,,,,9865,,,11456,,,,,,9558
232,,,,,9975,,,11479,,,,,,9600
233,,,,,9979,,,11481,,,,,,9631
234,,,,,10053,,,11538,,,,,,9631
235,,,,,10072,,,11550,,,,,,9631
236,,,,,10073,,,11550,,,,,,9734
237,,,,,10073,,,11561,,,,,,9741
238,,,,,10073,,,11770,,,,,,9753
239,,,,,10161,,,11859,,,,,,9787
240,,,,,10191,,,11900,,,,,,9840
241,,,,,10191,,,11922,,,,,,9917
242,,,,,10262,,,11928,,,,,,9931
243,,,,,10279,,,11954,,,,,,10033
244,,,,,10310,,,11954,,,,,,10039
245,,,,,10387,,,11960,,,,,,10064
246,,,,,10425,,,12026,,,,,,10179
247,,,,,10427,,,12097,,,,,,10220
248,,,,,10627,,,12101,,,,,,10265
249,,,,,10630,,,12178,,,,,,10365
250,,,,,10678,,,12250,,,,,,10521
251,,,,,10695,,,12260,,,,,,10599
252,,,,,10711,,,12311,,,,,,10660
253,,,,,10771,,,12311,,,,,,10660
254,,,,,10876,,,12320,,,,,,10716
255,,,,,10878,,,12332,,,,,,10746
256,,,,,10927,,,12333,,,,,,10788
257,,,,,10934,,,12343,,,,,,10807
258,,,,,11018,,,12363,,,,,,10847
259,,,,,11022,,,12407,,,,,,10927
260,,,,,11056,,,12411,,,,,,
261,,,,,11070,,,12459,,,,,,
262,,,,,11115,,,12487,,,,,,
263,,,,,11132,,,12495,,,,,,
264,,,,,11174,,,12495,,,,,,
265,,,,,,,,12495,,,,,,
266,,,,,,,,12557,,,,,,
267,,,,,,,,12635,,,,,,
268,,,,,,,,12640,,,,,,
269,,,,,,,,12656,,,,,,
270,,,,,,,,12718,,,,,,
271,,,,,,,,12778,,,,,,
272,,,,,,,,12912,,,,,,
273,,,,,,,,12919,,,,,,
274,,,,,,,,13140,,,,,,
275,,,,,,,,13200,,,,,,
276,,,,,,,,13204,,,,,,
277,,,,,,,,13218,,,,,,
278,,,,,,,,13225,,,,,,
279,,,,,,,,13266,,,,,,
280,,,,,,,,13289,,,,,,
281,,,,,,,,13346,,,,,,
282,,,,,,,,13346,,,,,,
283,,,,,,,,13350,,,,,,
284,,,,,,,,13366,,,,,,
285,,,,,,,,13370,,,,,,
286,,,,,,,,13378,,,,,,
