date,satisfied,dissatisfied,uncommitted,pm
1992-01-19,21,42,37,Paul Keating
1992-02-02,27,45,28,Paul Keating
1992-02-16,27,47,26,Paul Keating
1992-03-01,35,46,19,Paul Keating
1992-03-15,37,47,16,Paul Keating
1992-03-29,37,49,14,Paul Keating
1992-04-12,35,50,15,Paul Keating
1992-05-03,29,61,10,Paul Keating
1992-05-17,30,60,10,Paul Keating
1992-05-31,29,60,11,Paul Keating
1992-06-14,27,63,10,Paul Keating
1992-06-28,32,58,10,Paul Keating
1992-07-12,24,68,8,Paul Keating
1992-07-26,28,64,8,Paul Keating
1992-08-09,27,63,10,Paul Keating
1992-08-23,24,67,9,Paul Keating
1992-09-06,29,62,9,Paul Keating
1992-09-20,29,61,10,Paul Keating
1992-10-11,31,59,10,Paul Keating
1992-10-25,33,56,11,Paul Keating
1992-11-08,35,54,11,Paul Keating
1992-11-22,31,56,13,Paul Keating
1992-12-06,34,58,8,Paul Keating
1992-12-13,35,55,10,Paul Keating
1992-12-20,32,59,9,Paul Keating
1993-01-24,34,57,9,Paul Keating
1993-02-07,26,63,11,Paul Keating
1993-02-14,30,62,8,Paul Keating
1993-02-21,29,61,10,Paul Keating
1993-02-28,32,60,8,Paul Keating
1993-03-07,29,61,10,Paul Keating
1993-03-11,34,59,7,Paul Keating
1993-03-21,41,50,9,Paul Keating
1993-04-04,43,47,10,Paul Keating
1993-04-18,43,45,12,Paul Keating
1993-05-02,40,48,12,Paul Keating
1993-05-16,38,52,10,Paul Keating
1993-05-30,32,57,11,Paul Keating
1993-06-13,32,57,11,Paul Keating
1993-06-27,30,60,10,Paul Keating
1993-07-11,30,60,10,Paul Keating
1993-07-25,29,60,11,Paul Keating
1993-08-08,27,64,9,Paul Keating
1993-08-22,17,74,9,Paul Keating
1993-09-05,18,75,7,Paul Keating
1993-09-19,21,70,9,Paul Keating
1993-09-26,25,66,9,Paul Keating
1993-10-10,22,68,10,Paul Keating
1993-10-24,25,65,10,Paul Keating
1993-11-07,26,65,9,Paul Keating
1993-11-21,29,61,10,Paul Keating
1993-12-05,26,65,9,Paul Keating
1993-12-19,26,63,11,Paul Keating
1994-01-16,34,55,11,Paul Keating
1994-01-30,36,52,12,Paul Keating
1994-02-13,32,57,11,Paul Keating
1994-02-27,34,57,9,Paul Keating
1994-03-13,35,52,13,Paul Keating
1994-03-27,34,57,9,Paul Keating
1994-04-17,37,52,11,Paul Keating
1994-05-01,35,52,13,Paul Keating
1994-05-15,41,46,13,Paul Keating
1994-05-29,34,54,12,Paul Keating
1994-06-12,36,53,11,Paul Keating
1994-06-26,33,59,8,Paul Keating
1994-07-10,32,58,10,Paul Keating
1994-07-24,29,62,9,Paul Keating
1994-08-07,37,53,10,Paul Keating
1994-08-21,33,56,11,Paul Keating
1994-09-04,38,50,12,Paul Keating
1994-09-18,43,46,11,Paul Keating
1994-09-25,42,47,11,Paul Keating
1994-10-09,41,51,8,Paul Keating
1994-10-23,40,48,12,Paul Keating
1994-11-06,41,51,8,Paul Keating
1994-11-20,43,48,9,Paul Keating
1994-12-04,39,53,8,Paul Keating
1994-12-18,32,59,9,Paul Keating
1995-01-15,35,54,11,Paul Keating
1995-01-29,38,53,9,Paul Keating
1995-02-12,32,58,10,Paul Keating
1995-02-26,31,58,11,Paul Keating
1995-03-12,32,58,10,Paul Keating
1995-03-26,30,62,8,Paul Keating
1995-04-09,34,57,9,Paul Keating
1995-04-23,33,55,12,Paul Keating
1995-05-07,36,53,11,Paul Keating
1995-05-21,34,56,10,Paul Keating
1995-06-04,35,56,9,Paul Keating
1995-06-18,31,59,10,Paul Keating
1995-07-02,33,61,6,Paul Keating
1995-07-16,33,57,10,Paul Keating
1995-07-30,31,60,9,Paul Keating
1995-08-13,31,59,10,Paul Keating
1995-08-27,33,59,8,Paul Keating
1995-09-10,32,61,7,Paul Keating
1995-09-24,36,55,9,Paul Keating
1995-10-08,33,56,11,Paul Keating
1995-10-22,31,59,10,Paul Keating
1995-11-12,35,54,11,Paul Keating
1995-11-26,32,57,11,Paul Keating
1995-12-10,30,58,12,Paul Keating
1995-12-17,34,55,11,Paul Keating
1996-01-21,33,57,10,Paul Keating
1996-02-04,36,56,8,Paul Keating
1996-02-11,36,54,10,Paul Keating
1996-02-18,36,55,9,Paul Keating
1996-02-25,36,57,7,Paul Keating
1996-02-29,38,56,6,Paul Keating
1996-03-17,45,12,43,John Howard
1996-03-31,52,14,34,John Howard
1996-04-14,55,13,32,John Howard
1996-04-28,50,21,29,John Howard
1996-05-12,67,14,19,John Howard
1996-05-26,60,23,17,John Howard
1996-06-16,53,30,17,John Howard
1996-06-30,50,33,17,John Howard
1996-07-14,58,29,13,John Howard
1996-07-28,57,30,13,John Howard
1996-08-11,48,38,14,John Howard
1996-08-25,51,34,15,John Howard
1996-09-08,53,35,12,John Howard
1996-09-22,56,32,12,John Howard
1996-10-13,55,32,13,John Howard
1996-10-27,54,33,13,John Howard
1996-11-10,55,31,14,John Howard
1996-11-24,55,34,11,John Howard
1996-12-08,51,35,14,John Howard
1996-12-15,53,35,12,John Howard
1997-01-19,50,36,14,John Howard
1997-02-02,52,34,14,John Howard
1997-02-16,49,38,13,John Howard
1997-03-02,51,36,13,John Howard
1997-03-16,52,35,13,John Howard
1997-04-06,49,37,14,John Howard
1997-04-20,44,43,13,John Howard
1997-05-04,45,40,15,John Howard
1997-05-11,41,43,16,John Howard
1997-05-18,37,48,15,John Howard
1997-06-01,42,46,12,John Howard
1997-06-15,42,44,14,John Howard
1997-06-29,40,47,13,John Howard
1997-07-13,40,48,12,John Howard
1997-07-27,44,45,11,John Howard
1997-08-10,42,46,12,John Howard
1997-08-24,38,50,12,John Howard
1997-09-07,42,47,11,John Howard
1997-09-21,42,47,11,John Howard
1997-09-28,36,51,13,John Howard
1997-10-12,40,50,10,John Howard
1997-10-19,31,56,13,John Howard
1997-10-26,32,56,12,John Howard
1997-11-09,33,56,11,John Howard
1997-11-23,35,54,11,John Howard
1997-12-07,36,54,10,John Howard
1998-01-18,36,53,11,John Howard
1998-02-01,37,48,15,John Howard
1998-02-15,43,46,11,John Howard
1998-03-01,40,49,11,John Howard
1998-03-15,34,54,12,John Howard
1998-03-29,35,53,12,John Howard
1998-04-19,35,52,13,John Howard
1998-05-03,37,51,12,John Howard
1998-05-17,42,47,11,John Howard
1998-05-31,39,50,11,John Howard
1998-06-14,34,56,10,John Howard
1998-06-28,28,59,13,John Howard
1998-07-12,30,56,14,John Howard
1998-07-26,30,57,13,John Howard
1998-08-09,37,52,11,John Howard
1998-08-16,42,46,12,John Howard
1998-08-30,38,51,11,John Howard
1998-09-06,41,47,12,John Howard
1998-09-13,40,51,9,John Howard
1998-09-20,45,46,9,John Howard
1998-09-27,46,45,9,John Howard
1998-10-01,44,48,8,John Howard
1998-10-18,51,39,10,John Howard
1998-11-01,45,42,13,John Howard
